#Model Name: Siggraph_LargerFieldOfView_May28_AddedAbsorberTube_UpdatedPivotForEyeRollToCoR_10p5FromPupil.3
#Runtime [min]: 2651.25
#Number of rays/source: 500000.0
#xsampling: 21 ysampling: 21 zsampling: 11
#xmin: -12.0#xmax: 12.0#ymin: -12.0#ymax: 12.0#zmin: 33.19#zmax: 57.19
x,y,z,nonuniformity,source_center,source_left,source_right,source_bottom,source_top
-1.200000000000000000e+01,-8.400000000000000355e+00,3.798999999999999488e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.395014744253499828e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-8.400000000000000355e+00,4.039000000000000057e+01,1.000000000000000000e+00,0.000000000000000000e+00,5.687018732722864911e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-8.400000000000000355e+00,4.278999999999999915e+01,1.000000000000000000e+00,0.000000000000000000e+00,8.382005230431428799e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-8.400000000000000355e+00,4.518999999999999773e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.175099091321378921e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-8.400000000000000355e+00,4.758999999999999631e+01,1.000000000000000000e+00,0.000000000000000000e+00,3.641810885949658427e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-8.400000000000000355e+00,4.998999999999999488e+01,1.000000000000000000e+00,0.000000000000000000e+00,6.824888202348926143e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-8.400000000000000355e+00,5.239000000000000057e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.167466075315404851e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-8.400000000000000355e+00,5.478999999999999204e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.756292784673817323e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-8.400000000000000355e+00,5.718999999999999773e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.194487126920798346e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.200000000000000000e+01,-7.200000000000000178e+00,3.318999999999999773e+01,1.000000000000000000e+00,0.000000000000000000e+00,5.987496128901973691e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.197701097599271769e+01
-1.200000000000000000e+01,-7.200000000000000178e+00,3.558999999999999631e+01,1.000000000000000000e+00,0.000000000000000000e+00,3.890735092252379701e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.981044154488944997e+00
-1.200000000000000000e+01,-7.200000000000000178e+00,3.798999999999999488e+01,1.000000000000000000e+00,0.000000000000000000e+00,7.681655047430575678e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
